grid_size,start_x,start_y,start_d,goal_x,goal_y,goal_d,lava_tiles
11,9,9,south,8,1,west,0_9;7_8;6_6;10_5;7_7;2_8;8_2;8_0;8_9;6_10;4_3;7_3;8_4;2_10;1_5;5_7;8_5;7_1;4_7;9_10;0_8;5_6;9_0;8_7;0_7;0_1;7_2;8_8;2_4;10_10;1_10;4_8;3_8;4_6;6_0;3_6;6_1;3_1;5_5;3_5;5_4;5_0;8_10;2_0;5_8;5_10;2_1;3_7;9_1;10_3;2_2;0_6;5_1;6_4;1_7;4_5;10_9;3_9;0_2;9_5;6_7;6_8;3_3;4_2;3_4;0_10;7_10;1_4;6_2;5_3;0_5;3_0;4_0;4_1;1_1;4_4;9_3;10_1;7_5;9_2;1_8;10_0;3_10;9_6;1_9;0_0;10_6;9_7;5_2;10_4;4_9
12,9,9,north,1,10,north,3_7;0_5;3_8;4_5;1_6;7_11;6_7;0_9;0_6;7_7;7_4;10_6;2_0;11_11;9_2;8_8;7_0;4_2;9_7;10_11;8_5;10_8;4_11;4_0;8_10;7_2;0_11;5_11;11_6;10_7;4_1;11_10;2_2;5_5;3_6;10_9;3_0;6_10;2_10;9_5;5_3;1_5;9_1;2_8;6_2;6_6;7_9;4_4;6_1;0_3;11_7;3_9;5_1;8_6;5_6;10_4;6_11;2_11;3_1;0_1;8_0;0_4;11_2;2_7;1_3;4_9;4_8;8_7;4_3;7_6;8_9;8_4;2_3;4_6;11_4;9_10;1_9;5_10;5_0;10_0;11_5;10_10;0_8;7_10;7_1;0_10;6_0;7_5;0_7;2_6;11_8;3_10;1_2;11_0;5_2;3_5;6_4;10_3;5_7;8_3;5_9;10_5;9_8;3_11;1_7;2_1;6_5;9_6;6_9;8_11;3_2;6_8;9_3;1_1
9,7,3,north,3,7,south,4_8;6_1;4_5;5_1;2_6;2_5;1_8;2_1;6_5;8_2;8_5;7_6;0_1;3_1;4_7;1_5;7_0;4_3;8_3;7_2;3_8;3_4;2_4;7_7;0_6;0_8;5_0;1_7;3_2;6_6;7_8;2_8;4_6;0_2;7_5;8_0;2_7;1_6;4_4;4_2;0_4;8_8;0_5;5_8;5_5;1_1;7_4;3_5;8_7;6_3;8_1;7_1;2_2;6_2
14,6,9,east,5,8,south,0_1;11_4;9_7;9_6;9_5;2_8;7_8;4_5;5_4;4_1;13_7;1_1;4_6;4_10;10_13;9_8;5_1;0_6;5_13;4_0;6_11;1_3;6_8;10_9;12_3;10_5;0_5;7_9;8_12;3_12;12_5;10_0;11_9;8_11;1_4;6_12;7_0;9_4;5_9;9_12;10_6;0_7;9_2;13_4;1_7;3_8;12_4;4_3;11_7;0_12;9_10;7_13;3_5;3_4;3_1;7_7;5_10;5_3;11_3;12_8;3_3;10_8;1_2;6_4;3_7;13_0;5_11;11_5;13_11;5_12;3_13;7_3;7_1;5_5;8_3;11_1;1_0;11_11;6_2;4_12;12_13;4_9;11_6;10_10;0_8;2_7;10_12;3_9;1_10;6_0;8_4;6_13;12_9;9_1;3_2;4_2;1_11;10_7;4_4;0_4;3_6;13_5;6_5;9_0;8_10;12_11;2_3;8_8;8_2;13_6;8_9;8_5;7_2;3_0;10_2;11_10;0_3;12_0;13_10;1_8;7_5;7_4;1_6;10_4;2_2;8_7;8_6;12_6;7_6;6_6;13_8;4_7;13_2;6_7;9_11
11,1,6,north,9,10,west,9_5;3_4;5_10;4_6;9_2;4_4;6_2;7_4;0_2;1_5;3_6;0_10;10_2;7_10;9_8;3_8;10_9;4_8;5_0;8_9;0_7;1_8;2_5;2_1;6_3;3_3;1_1;2_10;4_3;1_0;8_7;6_9;7_0;0_1;9_3;3_5;4_2;10_7;3_9;2_7;6_8;10_3;3_10;2_4;5_6;8_6;9_7;9_1;4_0;9_6;1_3;10_0;0_8;10_6;3_1;7_2;1_10;7_5;7_7;10_1;4_1;0_4;8_4;8_2;2_8;5_7;3_2;7_8;3_0;6_6;10_4;1_9;5_2;6_4;8_5;5_9;5_1;3_7;6_10;7_9;6_1;8_8
12,2,6,east,1,7,south,7_8;9_1;1_6;0_4;5_10;11_8;4_3;1_10;7_9;9_9;0_7;2_2;6_10;11_1;6_6;6_9;8_9;0_0;3_6;11_0;9_2;8_8;3_0;10_11;4_4;5_3;4_7;6_4;0_10;11_7;2_11;5_5;10_5;2_0;7_3;10_4;10_7;4_1;7_0;9_0;7_6;11_3;3_1;4_10;4_8;8_10;11_11;8_7;1_5;3_5;2_9;11_9;0_11;5_1;6_8;3_9;2_5;5_7;4_9;3_4;1_11;8_4;10_3;5_2;4_5;0_1;3_7;10_9;11_10;9_6;11_4;5_8;10_2;9_7;8_5;1_3;3_2;7_4;9_4;6_3;0_9;9_3;4_2;4_0;6_1;8_2;9_5;6_2;1_1;3_3;10_8;8_6;7_7;7_10;6_5;1_9;3_11;2_8;7_5;4_11;2_3;6_0;1_2;7_1;5_0;1_4
8,2,1,west,3,5,north,7_7;3_0;5_3;7_3;0_2;3_4;6_6;3_1;7_5;6_0;6_1;5_6;6_2;7_2;1_2;4_7;7_1;3_7;0_1;1_0;0_4;4_0;0_0;6_4;0_5;4_4;4_6;1_1;0_6;3_2;0_3;2_2;5_5;7_0;1_5;5_0;1_3;4_2;5_1;2_4;1_4;0_7;1_6;2_0;7_4
12,7,3,west,8,9,north,9_11;1_11;2_0;2_11;3_9;4_7;10_9;6_2;8_7;0_8;0_6;8_3;4_5;8_0;6_11;3_6;4_2;3_10;7_9;9_9;9_3;7_1;5_5;2_8;6_10;10_2;0_3;6_1;8_4;10_6;11_7;8_11;3_4;5_6;2_7;8_5;3_5;3_8;5_2;7_2;9_0;0_11;5_8;4_0;1_5;4_1;11_10;9_8;5_11;3_7;6_9;5_1;0_1;11_11;8_2;8_8;3_11;10_8;11_0;0_2;5_7;0_5;10_1;11_2;5_4;11_4;4_3;11_5;4_11;1_3;4_8;7_8;10_3;11_3;10_0;7_7;11_8;2_10;1_7;2_4;5_9;1_2;10_4;2_1;11_9;9_6;9_4;7_11
10,3,8,north,6,6,west,4_8;8_2;7_8;9_0;2_3;9_3;8_8;5_1;3_5;3_3;9_6;0_5;4_0;5_7;0_2;8_5;4_1;9_2;4_5;2_5;7_6;1_0;8_3;1_3;4_3;1_2;4_6;0_7;9_5;0_6;2_7;8_6;2_9;7_4;6_9;8_1;2_2;8_7;7_1;7_9;0_9;6_7;4_2;4_4;7_3;7_5;7_2;0_0;5_4;6_8;2_1;9_9;5_0;6_4;1_7;0_4;5_5;0_8;9_4;4_7;3_2
12,0,10,north,1,10,east,2_10;2_2;4_9;2_9;5_4;6_4;8_0;2_3;3_3;5_11;1_3;9_6;9_4;2_0;8_3;9_0;10_3;7_7;4_3;0_11;10_11;9_11;8_8;9_9;5_6;5_5;10_6;6_5;8_7;0_4;3_10;8_4;2_11;2_4;1_7;0_2;0_6;0_8;1_4;10_2;3_4;11_0;8_2;4_2;1_2;11_10;8_10;5_10;9_8;9_1;5_8;3_7;5_2;0_0;11_1;7_10;3_6;4_5;6_10;8_9;6_3;7_5;6_8;9_2;7_11;7_8;1_1;5_1;4_1;10_7;11_3;11_7;6_11;4_6;9_10;3_8;10_1;11_2;11_8;5_9;3_0;7_9;0_1;7_1;10_10;2_8;10_5;4_11;2_5;8_11;6_2;5_3;2_6;8_6;6_7;4_0;6_6
